"ADV-Text1","Erreger","NRL"
"Salmonella IIIb 47:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:(k):z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:c:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:i:z35:[z57]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:i:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:i:z61","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:k:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:l,v:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:l,w:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:r:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:z35:z52","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:z52:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 48:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:(k):z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:(k):z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:i:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:k:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:l,v:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:r:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:r:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:r:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:z10:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:z52:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 50:z52:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 51:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 51:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 52:(k):z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 52:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 52:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 52:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 52:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:(k):z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:(k):z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:l,v:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:r:z68","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:z:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:z10:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 53:z52:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 57:c:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 57:c:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 57:c:z:z60","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 57:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 57:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 57:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 57:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 57:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:l,v:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:r:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:r:z53:[z57]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:z10:z53:[z50]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 58:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:k:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:c:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:i:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:z10:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:z10:z57","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:z52:-","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 59:z52:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,14:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,7,14:z39:1,2","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,7:k:z:[z55]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,7:l,v:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 6,7:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:i:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:i:z50","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:r:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:r:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:z10:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:z10:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:z52:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 60:z52:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:c:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:c:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:i:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:i:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:i:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:k:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:l,v:1,5,7:[z57]","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:r:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:r:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:r:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:z10:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:z52:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 61:z52:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:k:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:k:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:k:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:c:1,5,7","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:c:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:c:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:i:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:l,v:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:l,v:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:l,v:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:l,v:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:r:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:z10:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:z10:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:z52:e,n,x,z15","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:z52:z","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:z52:z35","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb 65:z52:z53","Salmonella IIIb","NRL-Salm"
"Salmonella IIIb-Form","Salmonella IIIb-Form","NRL-Salm"
"Salmonella III-Form","Salmonella III-Form","NRL-Salm"
"Salmonella Ikayi","Salmonella Ikayi","NRL-Salm"
"Salmonella Ikayi O:10-,15+","Salmonella Ikayi","NRL-Salm"
"Salmonella Ikeja","Salmonella Ikeja","NRL-Salm"
"Salmonella Ilala","Salmonella Ilala","NRL-Salm"
"Salmonella Ilugun","Salmonella Ilugun","NRL-Salm"
"Salmonella Imo","Salmonella Imo","NRL-Salm"
"Salmonella Imo H:E+,N+,Z15+","Salmonella Imo","NRL-Salm"
"Salmonella Inchpark","Salmonella Inchpark","NRL-Salm"
"Salmonella India","Salmonella India","NRL-Salm"
"Salmonella Infantis O:14+","Salmonella Infantis","NRL-Salm"
"Salmonella Inganda","Salmonella Inganda","NRL-Salm"
"Salmonella Inglis","Salmonella Inglis","NRL-Salm"
"Salmonella Inpraw","Salmonella Inpraw","NRL-Salm"
"Salmonella Inverness","Salmonella Inverness","NRL-Salm"
"Salmonella Ipeko","Salmonella Ipeko","NRL-Salm"
"Salmonella Ipswich","Salmonella Ipswich","NRL-Salm"
"Salmonella Ipswich H:1+,5+","Salmonella Ipswich","NRL-Salm"
"Salmonella Irchel","Salmonella Irchel","NRL-Salm"
"Salmonella Irenea","Salmonella Irenea","NRL-Salm"
"Salmonella Irigny","Salmonella Irigny","NRL-Salm"
"Salmonella Irumu","Salmonella Irumu","NRL-Salm"
"Salmonella Isangi O:14+","Salmonella Isangi","NRL-Salm"
"Salmonella Isaszeg","Salmonella Isaszeg","NRL-Salm"
"Salmonella Israel","Salmonella Israel","NRL-Salm"
"Salmonella Istoria","Salmonella Istoria","NRL-Salm"
"Salmonella Isuge","Salmonella Isuge","NRL-Salm"
"Salmonella Itami","Salmonella Itami","NRL-Salm"
"Salmonella Ituri","Salmonella Ituri","NRL-Salm"
"Salmonella Itutaba","Salmonella Itutaba","NRL-Salm"
"Salmonella IV 1,40:g,t:-","Salmonella IV","NRL-Salm"
"Salmonella IV 1,40:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 1,40:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 1,42:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 1,42:z4,z24:-","Salmonella IV","NRL-Salm"
"Salmonella IV 1,44:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 1,53:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 1,53:z36,z38:-","Salmonella IV","NRL-Salm"
"Salmonella IV 11:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 11:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 11:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 16:z36:-","Salmonella IV","NRL-Salm"
"Salmonella IV 16:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 16:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 17:z29:-","Salmonella IV","NRL-Salm"
"Salmonella IV 17:z36:-","Salmonella IV","NRL-Salm"
"Salmonella IV 21:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 21:m,t:-","Salmonella IV","NRL-Salm"
"Salmonella IV 21:z36:-","Salmonella IV","NRL-Salm"
"Salmonella IV 21:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 21:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 38:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 38:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 40:m,t:-","Salmonella IV","NRL-Salm"
"Salmonella IV 40:z4,z24:-","Salmonella IV","NRL-Salm"
"Salmonella IV 40:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 41:z29:-","Salmonella IV","NRL-Salm"
"Salmonella IV 41:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 41:z52:-","Salmonella IV","NRL-Salm"
"Salmonella IV 42:z36:-","Salmonella IV","NRL-Salm"
"Salmonella IV 43:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 43:z29:-","Salmonella IV","NRL-Salm"
"Salmonella IV 43:z36,z38:-","Salmonella IV","NRL-Salm"
"Salmonella IV 43:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 43:z4,z24:-","Salmonella IV","NRL-Salm"
"Salmonella IV 43:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 44:a:-","Salmonella IV","NRL-Salm"
"Salmonella IV 44:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 44:z29:-","Salmonella IV","NRL-Salm"
"Salmonella IV 44:z36,[z38]:-","Salmonella IV","NRL-Salm"
"Salmonella IV 44:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 44:z4,z24:-","Salmonella IV","NRL-Salm"
"Salmonella IV 44:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 45:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 45:z36,z38:-","Salmonella IV","NRL-Salm"
"Salmonella IV 45:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 47:l,v:-","Salmonella IV","NRL-Salm"
"Salmonella IV 47:z36:-","Salmonella IV","NRL-Salm"
"Salmonella IV 48:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 48:z29:-","Salmonella IV","NRL-Salm"
"Salmonella IV 48:z36,z38:-","Salmonella IV","NRL-Salm"
"Salmonella IV 48:z36:-","Salmonella IV","NRL-Salm"
"Salmonella IV 48:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 48:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 50:a:-","Salmonella IV","NRL-Salm"
"Salmonella IV 50:b:-","Salmonella IV","NRL-Salm"
"Salmonella IV 50:d:-","Salmonella IV","NRL-Salm"
"Salmonella IV 50:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 50:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 50:z4,z24:-","Salmonella IV","NRL-Salm"
"Salmonella IV 50:z4,z32:-","Salmonella IV","NRL-Salm"
"Salmonella IV 51:a:-","Salmonella IV","NRL-Salm"
"Salmonella IV 51:b:-","Salmonella IV","NRL-Salm"
"Salmonella IV 51:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 53:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 57:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 6,14:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 6,7:g,z51:-","Salmonella IV","NRL-Salm"
"Salmonella IV 6,7:z36:-","Salmonella IV","NRL-Salm"
"Salmonella IV 6,7:z4,z23:-","Salmonella IV","NRL-Salm"
"Salmonella IV 6,7:z4,z24:-","Salmonella IV","NRL-Salm"
"Salmonella IV k 18:z36,z38:-","Salmonella IV","NRL-Salm"
"Salmonella IV o 40:z4,z24:-","Salmonella IV","NRL-Salm"
"Salmonella IV-Form","Salmonella IV-Form","NRL-Salm"
"Salmonella Ivory","Salmonella Ivory","NRL-Salm"
"Salmonella Ivorycoast","Salmonella Ivorycoast","NRL-Salm"
"Salmonella Jaffna","Salmonella Jaffna","NRL-Salm"
"Salmonella Jalisco","Salmonella Jalisco","NRL-Salm"
"Salmonella Jamaica","Salmonella Jamaica","NRL-Salm"
"Salmonella Jambur","Salmonella Jambur","NRL-Salm"
"Salmonella Jangwani","Salmonella Jangwani","NRL-Salm"
"Salmonella Jedburgh","Salmonella Jedburgh","NRL-Salm"
"Salmonella Jedburgh O:15+","Salmonella Jedburgh","NRL-Salm"
"Salmonella Jericho","Salmonella Jericho","NRL-Salm"
"Salmonella Jerusalem","Salmonella Jerusalem","NRL-Salm"
"Salmonella Jerusalem O:14+","Salmonella Jerusalem","NRL-Salm"
"Salmonella Joal","Salmonella Joal","NRL-Salm"
"Salmonella Jodhpur","Salmonella Jodhpur","NRL-Salm"
"Salmonella Johannesburg","Salmonella Johannesburg","NRL-Salm"
"Salmonella Jos","Salmonella Jos","NRL-Salm"
"Salmonella Juba","Salmonella Juba","NRL-Salm"
"Salmonella Jubilee","Salmonella Jubilee","NRL-Salm"
"Salmonella Jukestown","Salmonella Jukestown","NRL-Salm"
"Salmonella Kaapstad","Salmonella Kaapstad","NRL-Salm"
"Salmonella Kabete","Salmonella Kabete","NRL-Salm"
"Salmonella Kaduna","Salmonella Kaduna","NRL-Salm"
"Salmonella Kaduna O:14+","Salmonella Kaduna","NRL-Salm"
"Salmonella Kahla","Salmonella Kahla","NRL-Salm"
"Salmonella Kainji","Salmonella Kainji","NRL-Salm"
"Salmonella Kaitaan","Salmonella Kaitaan","NRL-Salm"
"Salmonella Kalamu","Salmonella Kalamu","NRL-Salm"
"Salmonella Kalina","Salmonella Kalina","NRL-Salm"
"Salmonella Kallo","Salmonella Kallo","NRL-Salm"
"Salmonella Kalumburu","Salmonella Kalumburu","NRL-Salm"
"Salmonella Kambole","Salmonella Kambole","NRL-Salm"
"Salmonella Kamoru","Salmonella Kamoru","NRL-Salm"
"Salmonella Kampala","Salmonella Kampala","NRL-Salm"
"Salmonella Kande","Salmonella Kande","NRL-Salm"
"Salmonella Kandla","Salmonella Kandla","NRL-Salm"
"Salmonella Kaneshie","Salmonella Kaneshie","NRL-Salm"
"Salmonella Kanifing","Salmonella Kanifing","NRL-Salm"
"Salmonella Kano","Salmonella Kano","NRL-Salm"
"Salmonella Kaolack","Salmonella Kaolack","NRL-Salm"
"Salmonella Kapemba","Salmonella Kapemba","NRL-Salm"
"Salmonella Karachi","Salmonella Karachi","NRL-Salm"
"Salmonella Karamoja","Salmonella Karamoja","NRL-Salm"
"Salmonella Karaya","Salmonella Karaya","NRL-Salm"
"Salmonella Karlshamn","Salmonella Karlshamn","NRL-Salm"
"Salmonella Kasenyi","Salmonella Kasenyi","NRL-Salm"
"Salmonella Kassberg","Salmonella Kassberg","NRL-Salm"
"Salmonella Kedougou","Salmonella Kedougou","NRL-Salm"
"Salmonella Kenya","Salmonella Kenya","NRL-Salm"
"Salmonella Kermel","Salmonella Kermel","NRL-Salm"
"Salmonella Keve","Salmonella Keve","NRL-Salm"
"Salmonella Kiambu O:1+","Salmonella Kiambu","NRL-Salm"
"Salmonella Kibi","Salmonella Kibi","NRL-Salm"
"Salmonella Kibusi","Salmonella Kibusi","NRL-Salm"
"Salmonella Kidderminster","Salmonella Kidderminster","NRL-Salm"
"Salmonella Kiel","Salmonella Kiel","NRL-Salm"
"Salmonella Kikoma","Salmonella Kikoma","NRL-Salm"
"Salmonella Kimberley","Salmonella Kimberley","NRL-Salm"
"Salmonella Kimpese","Salmonella Kimpese","NRL-Salm"
"Salmonella Kimuenza","Salmonella Kimuenza","NRL-Salm"
"Salmonella Kindia","Salmonella Kindia","NRL-Salm"
"Salmonella Kingabwa","Salmonella Kingabwa","NRL-Salm"
"Salmonella Kingston","Salmonella Kingston","NRL-Salm"
"Salmonella Kingston O:5+","Salmonella Kingston","NRL-Salm"
"Salmonella Kinondoni","Salmonella Kinondoni","NRL-Salm"
"Salmonella Kinson","Salmonella Kinson","NRL-Salm"
"Salmonella Kintambo","Salmonella Kintambo","NRL-Salm"
"Salmonella Kirkee","Salmonella Kirkee","NRL-Salm"
"Salmonella Kisangani","Salmonella Kisangani","NRL-Salm"
"Salmonella Kisarawe","Salmonella Kisarawe","NRL-Salm"
"Salmonella Kisarawe H:Z15+","Salmonella Kisarawe","NRL-Salm"
"Salmonella Kisii","Salmonella Kisii","NRL-Salm"
"Salmonella Kitenge","Salmonella Kitenge","NRL-Salm"
"Salmonella Klouto","Salmonella Klouto","NRL-Salm"
"Salmonella Koblenz","Salmonella Koblenz","NRL-Salm"
"Salmonella Kodjovi","Salmonella Kodjovi","NRL-Salm"
"Salmonella Kodjovi H:1+,6+","Salmonella Kodjovi","NRL-Salm"
"Salmonella Koenigstuhl","Salmonella Koenigstuhl","NRL-Salm"
"Salmonella Koenigstuhl O:5+","Salmonella Koenigstuhl","NRL-Salm"
"Salmonella Koessen","Salmonella Koessen","NRL-Salm"
"Salmonella Kofandoka","Salmonella Kofandoka","NRL-Salm"
"Salmonella Koketime","Salmonella Koketime","NRL-Salm"
"Salmonella Kokoli","Salmonella Kokoli","NRL-Salm"
"Salmonella Kokomlemle","Salmonella Kokomlemle","NRL-Salm"
"Salmonella Kolar","Salmonella Kolar","NRL-Salm"
"Salmonella Kolda","Salmonella Kolda","NRL-Salm"
"Salmonella Konolfingen","Salmonella Konolfingen","NRL-Salm"
"Salmonella Konstanz","Salmonella Konstanz","NRL-Salm"
"Salmonella Korbol","Salmonella Korbol","NRL-Salm"
"Salmonella Korlebu","Salmonella Korlebu","NRL-Salm"
"Salmonella Korovi","Salmonella Korovi","NRL-Salm"
"Salmonella Kortrijk","Salmonella Kortrijk","NRL-Salm"
"Salmonella Kotte","Salmonella Kotte","NRL-Salm"
"Salmonella Kotte H:B-","Salmonella Kotte","NRL-Salm"
"Salmonella Kotu","Salmonella Kotu","NRL-Salm"
"Salmonella Kouka","Salmonella Kouka","NRL-Salm"
"Salmonella Koumra","Salmonella Koumra","NRL-Salm"
"Salmonella Kpeme","Salmonella Kpeme","NRL-Salm"
"Salmonella Kralingen","Salmonella Kralingen","NRL-Salm"
"Salmonella Kristianstad","Salmonella Kristianstad","NRL-Salm"
"Salmonella Kua","Salmonella Kua","NRL-Salm"
"Salmonella Kubacha","Salmonella Kubacha","NRL-Salm"
"Salmonella Kuessel","Salmonella Kuessel","NRL-Salm"
"Salmonella Kumasi","Salmonella Kumasi","NRL-Salm"
"Salmonella Kunduchi","Salmonella Kunduchi","NRL-Salm"
"Salmonella Kunduchi O:5+","Salmonella Kunduchi","NRL-Salm"
"Salmonella Kuntair","Salmonella Kuntair","NRL-Salm"
"Salmonella Kuru","Salmonella Kuru","NRL-Salm"
"Salmonella Labadi","Salmonella Labadi","NRL-Salm"
"Salmonella Lagos O:5-","Salmonella Lagos","NRL-Salm"
"Salmonella Lamberhurst","Salmonella Lamberhurst","NRL-Salm"
"Salmonella Lamin","Salmonella Lamin","NRL-Salm"
"Salmonella Lancaster","Salmonella Lancaster","NRL-Salm"
"Salmonella Landala","Salmonella Landala","NRL-Salm"
"Salmonella Landau","Salmonella Landau","NRL-Salm"
"Salmonella Landwasser","Salmonella Landwasser","NRL-Salm"
"Salmonella Langenhorn","Salmonella Langenhorn","NRL-Salm"
"Salmonella Langensalza","Salmonella Langensalza","NRL-Salm"
"Salmonella Langford","Salmonella Langford","NRL-Salm"
"Salmonella Lansing","Salmonella Lansing","NRL-Salm"
"Salmonella Laredo","Salmonella Laredo","NRL-Salm"
"Salmonella Lattenkamp","Salmonella Lattenkamp","NRL-Salm"
"Salmonella Lawndale","Salmonella Lawndale","NRL-Salm"
"Salmonella Lawra","Salmonella Lawra","NRL-Salm"
